一回路压力平均值,一环路冷热段平均值,堆芯出口温度平均值,主蒸汽压力平均值,辅助给水流量平均值,重要厂用水系统压力,DeltaTsat平均值,安全壳压力平均值,SG1水位平均值,稳压器泄压箱压力,压缩空气系统压力,汽机旁路系统蒸汽阀平均开度
15.3625,309.8285,333.425,6.6709525,0.0,0.0120312,10.982949999999999,100.982,0.00870794,0.0157462,0.815532,0.0
15.3627,309.826,333.4275,6.670977499999999,0.0,0.0120312,10.986799999999999,100.982,0.008599945,0.0157476,0.815545,0.0
15.364,309.823,333.429,6.670995,0.0,0.0120312,10.99325,100.982,0.008453764999999999,0.0157506,0.815557,0.0
15.3655,309.82050000000004,333.429,6.6709975,0.0,0.0120312,10.99785,100.982,0.008274335,0.015751,0.815569,0.0
15.3664,309.8175,333.429,6.67099,0.0,0.0120312,11.002749999999999,100.982,0.008063535,0.015748,0.815581,0.0
15.3672,309.81399999999996,333.428,6.670977499999999,0.0,0.0120312,11.0083,100.982,0.007830085,0.0157462,0.815594,0.0
15.3681,309.8115,333.4275,6.6709575,0.0,0.0120312,11.0135,100.982,0.007583444999999999,0.0157489,0.815606,0.0
15.3697,309.8085,333.4265,6.6709,0.0,0.0120312,11.02285,100.982,0.007091175,0.0157503,0.81563,0.0
15.3705,309.8085,333.4265,6.6708675,0.0,0.0120312,11.02705,100.982,0.00686617,0.0157471,0.815643,0.0
15.3712,309.8085,333.4265,6.6708300000000005,0.0,0.0120312,11.030999999999999,100.982,0.006663195,0.0157468,0.815655,0.0
15.3719,309.80899999999997,333.4265,6.670789999999999,0.0,0.0120312,11.0345,100.982,0.006483215,0.01575,0.815667,0.0
15.3726,309.80949999999996,333.427,6.670745,0.0,0.0120312,11.03795,100.982,0.006330235,0.0157516,0.815679,0.0
15.3733,309.80949999999996,333.427,6.670695,0.0,0.0120312,11.04115,100.982,0.006200845,0.0157494,0.815691,0.0
15.3739,309.81,333.427,6.67064,0.0,0.0120312,11.0443,100.982,0.0060827599999999996,0.0157466,0.815704,0.0
15.3745,309.81,333.427,6.6705875,0.0,0.0120312,11.0473,100.982,0.005970175,0.015748,0.815716,0.0
15.375,309.81,333.427,6.6705375,0.0,0.0120312,11.0502,100.982,0.005860265,0.015751,0.815728,0.0
15.3756,309.81,333.427,6.6704875,0.0,0.0120312,11.053049999999999,100.982,0.0057512150000000005,0.0157514,0.81574,0.0
15.3761,309.80949999999996,333.427,6.6704375,0.0,0.0120312,11.0558,100.982,0.0056425,0.0157484,0.815753,0.0
15.3766,309.80949999999996,333.427,6.6703850000000005,0.0,0.0120312,11.0585,100.982,0.005533695,0.0157466,0.815765,0.0
15.3771,309.80949999999996,333.427,6.67033,0.0,0.0120312,11.0611,100.982,0.00542435,0.0157492,0.815777,0.0
15.3776,309.80899999999997,333.427,6.67028,0.0,0.0120312,11.063600000000001,100.982,0.005314645,0.0157517,0.815789,0.0
15.3781,309.80899999999997,333.427,6.67024,0.0,0.0120312,11.0661,100.982,0.00520409,0.0157508,0.815802,0.0
15.3786,309.8085,333.427,6.6702075,0.0,0.0120312,11.0686,100.982,0.005089295,0.0157475,0.815814,0.0
15.379,309.8085,333.4275,6.67017,0.0,0.0120312,11.07095,100.982,0.004969905,0.0157472,0.815826,0.0
15.3795,309.8085,333.4275,6.670145,0.0,0.0120312,11.0733,100.982,0.004852395,0.0157504,0.815838,0.0
15.38,309.808,333.4275,6.6701075,0.0,0.0120312,11.0756,100.982,0.00473727,0.015752,0.815851,0.0
15.3804,309.808,333.428,6.6700775000000005,0.0,0.0120312,11.07785,100.982,0.004623625,0.0157499,0.815863,0.0
15.3809,309.808,333.428,6.6700575,0.0,0.0120312,11.0801,100.982,0.0045091,0.015747,0.815875,0.0
15.3813,309.808,333.428,6.670045,0.0,0.0120312,11.08235,100.982,0.004391575,0.0157483,0.815888,0.0
15.3818,309.8075,333.4285,6.6700275,0.0,0.0120312,11.08445,100.982,0.0042724600000000005,0.0157514,0.8159,0.0
15.3822,309.8075,333.4285,6.670015,0.0,0.0120312,11.08665,100.982,0.004153179999999999,0.0157518,0.815912,0.0
15.3827,309.808,333.4285,6.6699975,0.0,0.0120312,11.08885,100.982,0.0040346800000000006,0.0157489,0.815924,0.0
15.3831,309.808,333.429,6.6699850000000005,0.0,0.0120312,11.09095,100.982,0.003916755,0.015747,0.815936,0.0
15.3836,309.808,333.429,6.6699775,0.0,0.0120312,11.09305,100.982,0.00379888,0.0157496,0.815948,0.0
15.384,309.808,333.4295,6.6699775,0.0,0.0120312,11.09515,100.982,0.00367608,0.0157521,0.815961,0.0
15.3845,309.8085,333.4295,6.6699775,0.0,0.0120312,11.09745,100.982,0.00354796,0.0157512,0.815973,0.0
15.3849,309.8085,333.43,6.6699775,0.0,0.0120312,11.09955,100.982,0.003416815,0.015748,0.815985,0.0
15.3854,309.8085,333.4305,6.669974999999999,0.0,0.0120312,11.1017,100.982,0.003284805,0.0157476,0.815998,0.0
15.3858,309.8085,333.4305,6.6699775,0.0,0.0120312,11.10375,100.982,0.003160635,0.0157507,0.81601,0.0
15.3863,309.809,333.43100000000004,6.6699850000000005,0.0,0.0120312,11.10585,100.982,0.0030426050000000003,0.0157524,0.816022,0.0
15.3867,309.809,333.43100000000004,6.6699850000000005,0.0,0.0120312,11.1079,100.982,0.0029304149999999996,0.0157503,0.816034,0.0
15.3872,309.809,333.4315,6.6699875,0.0,0.0120312,11.11,100.982,0.00282317,0.0157475,0.816047,0.0
15.3876,309.8095,333.4315,6.6699875,0.0,0.0120312,11.112,100.982,0.002719445,0.0157487,0.816059,0.0
15.3881,309.81,333.432,6.669995,0.0,0.0120312,11.1141,100.982,0.0026194549999999997,0.0157517,0.816071,0.0
