汽机旁路系统蒸汽阀平均开度,稳压器喷淋阀平均开度,上充流量调节阀开度,电加热开启数量,一环路冷热段平均值,堆芯出口温度平均值,一回路压力平均值,ΔTsat平均值
66.63246666666667,0.0,100.0,0,255.9315,255.78,6.02653,20.9437
66.63246666666667,0.0,100.0,0,255.89249999999998,255.74,6.02103,20.9261
66.63246666666667,0.0,100.0,0,255.85449999999997,255.7,6.01587,20.9103
66.63246666666667,0.0,100.0,0,255.8155,255.661,6.01062,20.8934
66.63246666666667,0.0,100.0,0,255.776,255.62099999999998,6.00508,20.8731
66.63246666666667,0.0,100.0,0,255.73499999999999,255.5815,5.99935,20.8518
66.63246666666667,0.0,100.0,0,255.69600000000003,255.542,5.99409,20.8359
66.63246666666667,0.0,100.0,0,255.65750000000003,255.502,5.98922,20.8237
66.63246666666667,0.0,100.0,0,255.6185,255.46300000000002,5.98434,20.8107
66.63246666666667,0.0,100.0,0,255.579,255.4235,5.97924,20.7943
66.63246666666667,0.0,100.0,0,255.538,255.38400000000001,5.97379,20.7754
66.63246666666667,0.0,100.0,0,255.49900000000002,255.34449999999998,5.96882,20.7625
66.63246666666667,0.0,100.0,0,255.45999999999998,255.305,5.96414,20.7526
66.63246666666667,0.0,100.0,0,255.42200000000003,255.26600000000002,5.95966,20.7431
66.63246666666667,0.0,100.0,0,255.382,255.2265,5.95491,20.7302
66.63246666666667,0.0,100.0,0,255.3415,255.187,5.94975,20.7141
66.63246666666667,0.0,100.0,0,255.30200000000002,255.148,5.94509,20.7042
66.63246666666667,0.0,100.0,0,255.26299999999998,255.108,5.94054,20.6958
66.63246666666667,0.0,100.0,0,255.22500000000002,255.06900000000002,5.93641,20.6898
66.63246666666667,0.0,100.0,0,255.1855,255.03,5.93198,20.6801
66.63246666666667,0.0,100.0,0,255.14499999999998,254.9905,5.92708,20.6662
66.63246666666667,0.0,100.0,0,255.106,254.95100000000002,5.9227,20.6593
66.60193333333332,0.0,100.0,0,255.067,254.91199999999998,5.91829,20.6513
66.19493333333332,0.0,100.0,0,255.0285,254.873,5.9144,20.6484
65.83879999999999,0.0,100.0,0,254.98950000000002,254.834,5.91021,20.6411
65.49286666666667,0.0,100.0,0,254.949,254.7945,5.90551,20.629
65.1469,0.0,100.0,0,254.9095,254.75549999999998,5.90136,20.6244
64.49596666666666,0.0,100.0,0,254.87099999999998,254.716,5.8971,20.6172
63.87553333333333,0.0,100.0,0,254.83249999999998,254.67700000000002,5.89334,20.6165
63.27546666666667,0.0,100.0,0,254.7935,254.63799999999998,5.88936,20.6115
62.655033333333336,0.0,100.0,0,254.753,254.5985,5.88485,20.6014
62.004099999999994,0.0,100.0,0,254.714,254.559,5.88099,20.5999
61.332833333333326,0.0,100.0,0,254.67450000000002,254.51999999999998,5.87695,20.5947
60.641200000000005,0.0,100.0,0,254.636,254.481,5.87339,20.5963
59.91909999999999,0.0,100.0,0,254.597,254.442,5.86974,20.5941
59.17660000000001,0.0,100.0,0,254.55700000000002,254.40300000000002,5.86534,20.5863
58.393466666666676,0.0,100.0,0,254.51850000000002,254.364,5.86184,20.5872
57.58996666666667,0.0,100.0,0,254.4785,254.325,5.85811,20.585
56.76616666666666,0.0,100.0,0,254.43900000000002,254.28699999999998,5.85481,20.589
55.91180000000001,0.0,100.0,0,254.401,254.248,5.85149,20.5898
55.03713333333334,0.0,100.0,0,254.361,254.2095,5.84757,20.5874
54.142100000000006,0.0,100.0,0,254.322,254.171,5.84457,20.5927
53.226733333333335,0.0,100.0,0,254.28199999999998,254.13299999999998,5.84126,20.5943
52.28086666666667,0.0,100.0,0,254.243,254.095,5.83835,20.6022
51.335,0.0,100.0,0,254.2045,254.05700000000002,5.83549,20.6073
50.3586,0.0,100.0,0,254.1655,254.019,5.83224,20.6116
49.37203333333333,0.0,100.0,0,254.126,253.981,5.8298,20.6223
48.3753,0.0,100.0,0,254.086,253.9435,5.82697,20.6286
47.35823333333334,0.0,100.0,0,254.0475,253.906,5.82459,20.6413
46.330999999999996,0.0,100.0,0,254.00900000000001,253.869,5.82227,20.6514
45.303733333333334,0.0,100.0,0,253.97050000000002,253.832,5.81986,20.6643
44.25616666666667,0.0,100.0,0,253.93150000000003,253.796,5.81814,20.6813
43.1984,0.0,100.0,0,253.892,253.7595,5.81595,20.6932
42.15083333333333,0.0,100.0,0,253.8535,253.7235,5.81422,20.712
41.093066666666665,0.0,100.0,0,253.8155,253.6875,5.81258,20.7281
40.0353,0.0,100.0,0,253.778,253.652,5.81126,20.752
38.9572,0.0,100.0,0,253.73950000000002,253.61700000000002,5.81036,20.7764
37.89946666666666,0.0,100.0,0,253.70049999999998,253.582,5.80892,20.7953
51.08506666666667,0.0,100.0,0,253.662,253.548,5.80799,20.8212
49.84369999999999,0.0,100.0,0,253.6255,253.5135,5.80716,20.8468
48.27676666666667,0.0,100.0,0,253.589,253.48000000000002,5.80712,20.881
46.547,0.0,100.0,0,253.551,253.44650000000001,5.80709,20.9124
44.78673333333333,0.0,100.0,0,253.513,253.4135,5.80638,20.9376
66.63246666666667,0.0,100.0,0,253.477,253.381,5.80608,20.9686
66.63246666666667,0.0,100.0,0,253.442,253.3485,5.806,21.0002
66.63246666666667,0.0,100.0,0,253.40800000000002,253.31650000000002,5.80642,21.0372
66.63246666666667,0.0,100.0,0,253.3735,253.284,5.80635,21.0659
66.63246666666667,0.0,100.0,0,253.3365,253.252,5.80541,21.0884
66.63246666666667,0.0,100.0,0,253.30349999999999,253.219,5.80478,21.1143
66.63246666666667,0.0,100.0,0,253.27100000000002,253.18599999999998,5.80408,21.14
66.63246666666667,0.0,100.0,0,253.2405,253.152,5.80341,21.1651
