,rewards
199,-266.3187027419665
200,-266.33020948927503
201,-266.4448072993038
202,-266.3226244293153
203,-266.4584510139826
204,-266.253443046471
205,-266.3753910848802
206,-266.4313984162195
207,-266.44337482669164
208,-266.3657629901851
209,-266.12585905018136
210,-266.39243985743514
211,-266.4437270740549
212,-266.6065358070239
213,-266.41324593523916
214,-266.5890878207847
215,-266.4551868550518
216,-266.2433687717701
217,-266.4741377633931
218,-266.4813236096682
219,-266.47991462021616
220,-266.416181329966
221,-266.53686127786216
222,-266.45462325927195
223,-266.41991515205234
224,-266.4643452865922
225,-266.40836143841784
226,-266.2883155357772
227,-266.44034549933883
228,-266.74466374115127
229,-266.50694373482315
230,-266.34312522606865
231,-266.4251988625557
232,-266.2451534917651
233,-266.602238389146
234,-266.4132929015482
235,-266.5202821684593
236,-266.3971834553107
237,-266.3284247692943
238,-266.3992264900397
239,-266.34077691028983
240,-266.5326577926082
241,-266.51389474953226
242,-266.50055631590374
243,-266.2981784620557
244,-266.2879867715821
245,-266.3714928806782
246,-266.679826742485
247,-266.5120160969139
248,-266.40190357002575
249,-266.47247045918783
250,-266.325231059834
251,-266.50865800534416
252,-266.50248193484487
253,-266.2914622789215
254,-266.73768924329454
255,-266.41357469944865
256,-266.59016804603937
257,-266.37097625120697
258,-266.42865088675245
259,-266.1957684109242
260,-266.3574499523245
261,-266.19649638882186
262,-266.62142412905604
263,-266.38588805640893
264,-266.1309314122605
265,-266.48623158964836
266,-266.72134496546164
267,-266.39678424162014
268,-266.3259355545688
269,-266.3588354586374
270,-266.5107949726997
271,-266.28643688316424
272,-266.27929800319146
273,-266.39882727635063
274,-266.3894340132326
275,-266.35134433130185
276,-266.38088614379615
277,-266.46652922027056
278,-266.3172937524997
279,-266.3124562219946
280,-266.36806433964915
281,-266.32191993457803
282,-266.56393735878487
283,-266.6474434678921
284,-266.37151636384095
285,-266.3473287113204
286,-266.26041754433345
287,-266.3406829776602
288,-266.34068297765225
289,-266.43564886777585
290,-266.4225922320463
291,-266.39718345531026
292,-266.44386797299126
