Wall time,Step,Value
1676398698.538007,320,-18253.953125
1676398859.841885,322,-36000.3671875
1676398938.568038,323,-11390.7978515625
1676399017.872752,324,-38729.79296875
1676399098.287716,325,-37776.05078125
1676399179.192245,326,-20223.548828125
1676399258.414378,327,-18996.06640625
1676399497.725952,330,-15120.328125
1676399577.460926,331,-21229.4921875
1676399735.43704,333,-33634.48046875
1676399897.160123,335,-25567.892578125
1676400055.799952,337,-32172.486328125
1676400216.467863,339,-35441.0
1676400375.268644,341,-34565.9765625
1676400454.429643,342,-22427.296875
1676400534.537639,343,-15296.4130859375
1676400615.614439,344,-13389.50390625
1676400694.048786,345,-26388.59375
1676400773.102961,346,-24869.05859375
1676400852.652337,347,-11686.3388671875
1676400933.142126,348,-11527.6884765625
1676401013.217448,349,-36478.109375
1676401172.256136,351,-11829.857421875
1676401252.168757,352,-17409.43359375
1676401333.946958,353,-20431.357421875
1676401412.933774,354,-33817.234375
1676401572.465123,356,-15199.994140625
1676401733.169551,358,-31363.41796875
1676401812.119023,359,-21865.951171875
1676401890.900339,360,-11448.6328125
1676401970.211473,361,-14179.962890625
1676402050.349283,362,-12785.1376953125
1676402129.150345,363,-11355.875
1676402208.308085,364,-11490.6650390625
1676402287.637081,365,-15752.9189453125
1676402367.651401,366,-17366.39453125
1676402447.064119,367,-29831.162109375
1676402525.741715,368,-18690.951171875
1676402684.698267,370,-17357.451171875
1676402764.771435,371,-39455.15234375
1676402922.282194,373,-16843.029296875
1676403081.673616,375,-20274.82421875
1676403161.610817,376,-40056.296875
1676403240.490205,377,-13901.5556640625
1676403319.658688,378,-12966.6396484375
1676403399.722076,379,-13595.998046875
1676403560.481568,381,-22757.54296875
1676403639.37022,382,-36602.63671875
1676403800.517753,384,-16747.046875
1676403880.028227,385,-19520.37890625
1676403958.729945,386,-21315.115234375
1676404037.364307,387,-40099.73828125
1676404117.543099,388,-20619.1796875
1676404279.082234,390,-24780.677734375
1676404358.103257,391,-34772.14453125
1676404437.365307,392,-32433.990234375
1676404517.342608,393,-16676.416015625
1676404754.801396,396,-16649.56640625
1676404915.770734,398,-15945.1435546875
1676404995.635464,399,-20030.099609375
1676405153.652401,401,-19688.380859375
1676405234.529613,402,-34945.77734375
1676405314.532877,403,-13222.24609375
1676405472.201164,405,-12636.4169921875
1676405551.337894,406,-23324.994140625
1676405711.885693,408,-34036.8046875
1676405871.01889,410,-16071.8857421875
1676406271.304607,415,-27941.115234375
1676406352.153185,416,-28877.248046875
1676406591.483391,419,-22887.55859375
1676406672.084295,420,-28496.990234375
1676406752.214338,421,-13697.005859375
1676406830.518521,422,-19470.740234375
1676406911.330525,423,-21839.310546875
1676406990.884104,424,-25724.57421875
1676407151.949345,426,-35730.4609375
1676407311.45617,428,-24981.927734375
1676407473.385051,430,-21412.9296875
1676407632.597227,432,-25723.55859375
1676407873.277841,435,-20759.7578125
1676407952.364656,436,-16886.69921875
1676408112.826025,438,-13391.0966796875
1676408193.368111,439,-21008.57421875
1676408273.114572,440,-35298.6171875
