,一回路压力平均值,一环路冷热段平均值,堆芯出口温度平均值,主蒸汽压力平均值,辅助给水流量平均值,重要厂用水系统压力,DeltaTsat平均值,安全壳压力平均值,SG1水位平均值,稳压器泄压箱压力,压缩空气系统压力,汽机旁路系统蒸汽阀平均开度
55,1.849375887,1.520320687,1.73766507,1.073972864,-1.513543699,-2.006346969,-1.530755004,-2.189593103,-0.881099373,-1.159939134,-1.398199731,-0.878413187
56,1.849101478,1.520479859,1.73766507,1.074044149,-1.513543699,-2.006346969,-1.532098436,-2.189593103,-0.879849895,-1.159453859,-1.397367595,-0.878413187
57,1.848772188,1.519860858,1.737693207,1.074105454,-1.513543699,-2.006346969,-1.528818222,-2.167197361,-0.879504846,-1.159226386,-1.396599469,-0.878413187
58,1.850336316,1.520108458,1.737749482,1.074148225,-1.513543699,-2.006346969,-1.527390825,-2.167197361,-0.879420555,-1.159560012,-1.395831343,-0.878413187
59,1.851022338,1.520196887,1.737833893,1.07417959,-1.513543699,-2.006346969,-1.527077358,-2.167197361,-0.879467622,-1.159984628,-1.395063217,-0.878413187
60,1.851077219,1.520108458,1.737904235,1.074193847,-1.513543699,-2.006346969,-1.52664634,-2.167197361,-0.879576198,-1.15977232,-1.39423108,-0.878413187
61,1.85143395,1.520002344,1.737946441,1.074203827,-1.513543699,-2.006346969,-1.525924245,-2.167197361,-0.879723166,-1.159317375,-1.393462954,-0.878413187
62,1.851845563,1.519913915,1.737946441,1.074205252,-1.513543699,-2.006346969,-1.525409263,-2.167197361,-0.879903562,-1.159256716,-1.392694828,-0.878413187
63,1.852092531,1.5198078,1.737946441,1.074200975,-1.513543699,-2.006346969,-1.524860694,-2.167197361,-0.880115497,-1.159711661,-1.391926702,-0.878413187
64,1.852312057,1.519684,1.737918304,1.074193847,-1.513543699,-2.006346969,-1.524239357,-2.167197361,-0.880350204,-1.159984628,-1.391094565,-0.878413187
65,1.852559025,1.519595571,1.737904235,1.074182441,-1.513543699,-2.006346969,-1.523657203,-2.167197361,-0.880598173,-1.159575177,-1.390326439,-0.878413187
66,1.852998079,1.519489457,1.737876098,1.07414965,-1.513543699,-2.006346969,-1.522610445,-2.167197361,-0.881093094,-1.159362869,-1.388790187,-0.878413187
67,1.853217605,1.519489457,1.737876098,1.074131116,-1.513543699,-2.006346969,-1.522140244,-2.167197361,-0.881319311,-1.159848145,-1.387958051,-0.878413187
68,1.853409691,1.519489457,1.737876098,1.074109731,-1.513543699,-2.006346969,-1.521698031,-2.167197361,-0.881523379,-1.159893639,-1.387189924,-0.878413187
69,1.853601777,1.519507143,1.737876098,1.07408692,-1.513543699,-2.006346969,-1.521306196,-2.167197361,-0.881704328,-1.159408364,-1.386421798,-0.878413187
70,1.853793863,1.519524828,1.737890167,1.074061257,-1.513543699,-2.006346969,-1.520919959,-2.167197361,-0.881858132,-1.159165726,-1.385653672,-0.878413187
71,1.853985949,1.519524828,1.737890167,1.074032743,-1.513543699,-2.006346969,-1.520561711,-2.167197361,-0.881988219,-1.159499353,-1.384885546,-0.878413187
72,1.854150594,1.519542514,1.737890167,1.074001378,-1.513543699,-2.006346969,-1.52020906,-2.167197361,-0.88210694,-1.159923969,-1.38405341,-0.878413187
73,1.854315239,1.519542514,1.737890167,1.073971438,-1.513543699,-2.006346969,-1.519873202,-2.167197361,-0.882220131,-1.159711661,-1.383285284,-0.878413187
74,1.854452444,1.519542514,1.737890167,1.073942924,-1.513543699,-2.006346969,-1.519548539,-2.167197361,-0.882330633,-1.159256716,-1.382517158,-0.878413187
75,1.854617089,1.519542514,1.737890167,1.07391441,-1.513543699,-2.006346969,-1.519229474,-2.167197361,-0.88244027,-1.159196056,-1.381749031,-0.878413187
76,1.854754293,1.519524828,1.737890167,1.073885896,-1.513543699,-2.006346969,-1.518921604,-2.167197361,-0.882549571,-1.159651002,-1.380916895,-0.878413187
77,1.854891497,1.519524828,1.737890167,1.073855956,-1.513543699,-2.006346969,-1.518619331,-2.167197361,-0.882658962,-1.159923969,-1.380148769,-0.878413187
78,1.855028702,1.519524828,1.737890167,1.073824591,-1.513543699,-2.006346969,-1.518328254,-2.167197361,-0.882768896,-1.159529683,-1.379380643,-0.878413187
79,1.855165906,1.519507143,1.737890167,1.073796077,-1.513543699,-2.006346969,-1.518048373,-2.167197361,-0.882879191,-1.159150562,-1.378612517,-0.878413187
80,1.85530311,1.519507143,1.737890167,1.073773266,-1.513543699,-2.006346969,-1.517768491,-2.167197361,-0.882990342,-1.159287045,-1.37778038,-0.878413187
81,1.855440314,1.519489457,1.737890167,1.073754732,-1.513543699,-2.006346969,-1.517488609,-2.167197361,-0.883105755,-1.159787485,-1.377012254,-0.878413187
82,1.855550078,1.519489457,1.737904235,1.073733346,-1.513543699,-2.006346969,-1.51722552,-2.167197361,-0.883225788,-1.15983298,-1.376244128,-0.878413187
83,1.855687282,1.519489457,1.737904235,1.073719089,-1.513543699,-2.006346969,-1.516962432,-2.167197361,-0.883343931,-1.159347705,-1.375476002,-0.878413187
84,1.855824486,1.519471771,1.737904235,1.073697704,-1.513543699,-2.006346969,-1.51670494,-2.167197361,-0.883459676,-1.159105067,-1.374643865,-0.878413187
85,1.85593425,1.519471771,1.737918304,1.073680596,-1.513543699,-2.006346969,-1.516453047,-2.167197361,-0.883573933,-1.159423529,-1.373875739,-0.878413187
